"name","Agility","AcceleratedHealing","LanternPowerRing","DimensionalAwareness","ColdResistance","Durability","Stealth","EnergyAbsorption","Flight","DangerSense","Underwaterbreathing","Marksmanship","WeaponsMaster","PowerAugmentation","AnimalAttributes","Longevity","Intelligence","SuperStrength","Cryokinesis","Telepathy","EnergyArmor","EnergyBlasts","Duplication","SizeChanging","DensityControl","Stamina","AstralTravel","AudioControl","Dexterity","Omnitrix","SuperSpeed","Possession","AnimalOrientedPowers","Weapon_basedPowers","Electrokinesis","DarkforceManipulation","DeathTouch","Teleportation","EnhancedSenses","Telekinesis","EnergyBeams","Magic","Hyperkinesis","Jump","Clairvoyance","DimensionalTravel","PowerSense","Shapeshifting","PeakHumanCondition","Immortality","Camouflage","ElementControl","Phasing","AstralProjection","ElectricalTransport","FireControl","Projection","Summoning","EnhancedMemory","Reflexes","Invulnerability","EnergyConstructs","ForceFields","Self_Sustenance","Anti_Gravity","Empathy","PowerNullifier","RadiationControl","PsionicPowers","Elasticity","SubstanceSecretion","ElementalTransmogrification","Technopath_Cyberpath","PhotographicReflexes","SeismicPower","Animation","Precognition","MindControl","FireResistance","PowerAbsorption","EnhancedHearing","NovaForce","Insanity","Hypnokinesis","AnimalControl","NaturalArmor","Intangibility","EnhancedSight","MolecularManipulation","HeatGeneration","Adaptation","Gliding","PowerSuit","MindBlast","ProbabilityManipulation","GravityControl","Regeneration","LightControl","Echolocation","Levitation","ToxinandDiseaseControl","Banish","EnergyManipulation","HeatResistance","NaturalWeapons","TimeTravel","EnhancedSmell","Illusions","Thirstokinesis","HairManipulation","Illumination","Omnipotent","Cloaking","ChangingArmor","PowerCosmic","Biokinesis","WaterControl","RadiationImmunity","Vision_Telescopic","ToxinandDiseaseResistance","SpatialAwareness","EnergyResistance","TelepathyResistance","MolecularCombustion","Omnilingualism","PortalCreation","Magnetism","MindControlResistance","PlantControl","Sonar","SonicScream","TimeManipulation","EnhancedTouch","MagicResistance","Invisibility","Sub_Mariner","RadiationAbsorption","Intuitiveaptitude","Vision_Microscopic","Melting","WindControl","SuperBreath","Wallcrawling","Vision_Night","Vision_Infrared","GrimReaping","MatterAbsorption","TheForce","Resurrection","Terrakinesis","Vision_Heat","Vitakinesis","RadarSense","QwardianPowerRing","WeatherControl","Vision_X_Ray","Vision_Thermal","WebCreation","RealityWarping","OdinForce","SymbioteCostume","SpeedForce","PhoenixForce","MolecularDissipation","Vision_Cryo","Omnipresent","Omniscient","Gender","Eyecolor","Race","Haircolor","Height","Publisher","Skincolor","Alignment","Weight"
"Air-Walker","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Male","blue","-","White","188","Marvel Comics","-","bad","108"
"Ajax","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Male","brown","Cyborg","Black","193","Marvel Comics","-","bad","90"
"Alan Scott","False","False","False","False","False","False","False","False","True","True","False","False","False","False","False","False","True","False","False","True","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Male","blue","-","Blond","180","DC Comics","-","good","90"
"Alex Mercer","True","True","False","False","False","False","True","True","False","True","False","True","True","False","False","True","False","True","False","False","False","True","False","False","False","True","False","False","False","False","True","False","False","False","False","False","False","False","True","False","False","False","False","True","False","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","True","False","False","False","False","False","False","False","False","False","True","False","False","False","False","True","False","False","False","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","True","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","Male","-","Human","-","-99","Wildstorm","-","bad","-99"
"Alex Woolsly","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Male","-","-","-","-99","NBC - Heroes","-","good","-99"
"Alien","True","False","False","False","True","True","True","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","True","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","Male","-","Xenomorph XX121","No Hair","244","Dark Horse Comics","black","bad","169"
"Allan Quatermain","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Male","-","-","-","-99","Wildstorm","-","good","-99"
"Amazo","True","False","True","False","False","True","False","False","True","False","True","True","False","True","False","True","True","True","True","True","False","True","True","True","False","True","False","False","False","False","True","False","False","True","False","False","False","True","True","False","False","False","False","True","False","False","False","True","False","False","True","False","True","False","False","True","False","False","True","True","True","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","False","False","False","False","False","False","False","False","False","True","False","True","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","True","False","False","False","True","False","False","True","False","True","False","False","False","False","False","False","True","False","False","False","False","True","True","False","False","False","False","False","False","False","False","False","False","Male","red","Android","-","257","DC Comics","-","bad","173"
"Ammo","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Male","brown","Human","Black","188","Marvel Comics","-","bad","101"
"Ando Masahashi","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Male","-","-","-","-99","NBC - Heroes","-","good","-99"
"Angel","True","True","False","False","False","True","True","False","True","False","False","False","False","False","False","True","False","True","False","False","False","False","False","False","False","True","False","False","False","False","True","False","False","False","False","False","False","False","True","False","False","True","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Male","blue","-","Blond","183","Marvel Comics","-","good","68"
"Angel","True","True","False","False","False","True","True","False","True","False","False","False","False","False","False","True","False","True","False","False","False","False","False","False","False","True","False","False","False","False","True","False","False","False","False","False","False","False","True","False","False","True","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Male","-","Vampire","-","-99","Dark Horse Comics","-","good","-99"
"Angel Dust","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","True","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Female","yellow","Mutant","Black","165","Marvel Comics","-","good","57"
"Angel Salvadore","False","False","False","False","False","False","False","False","True","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Female","brown","-","Black","163","Marvel Comics","-","good","54"
"Angela","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Female","-","-","-","-99","Image Comics","-","bad","-99"
"Animal Man","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","True","False","True","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Male","blue","Human","Blond","183","DC Comics","-","good","83"
"Annihilus","True","False","False","False","False","True","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","True","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Male","green","-","No Hair","180","Marvel Comics","-","bad","90"
"Ant-Man","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Male","blue","Human","Blond","211","Marvel Comics","-","good","122"
"Ant-Man II","True","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True","True","False","True","False","False","False","True","False","True","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","Male","blue","Human","Blond","183","Marvel Comics","-","good","86"
"Anti-Monitor","False","True","False","True","False","True","False","True","True","False","False","False","False","True","False","False","True","True","False","True","False","True","False","True","False","False","False","False","False","False","False","False","False","False","False","True","False","True","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","True","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","Male","yellow","God / Eternal","No Hair","61","DC Comics","-","bad","-99"
